prefix,origin_asn
41.139.128.0/20,37061
41.139.129.0/24,37061
41.139.137.0/24,37061
41.139.152.0/24,37061
41.139.153.0/24,37061
41.139.154.0/24,37061
41.139.155.0/24,37061
41.139.160.0/19,37061
41.139.161.0/24,37061
41.139.162.0/24,37061
41.139.163.0/24,37061
41.139.174.0/24,37061
41.139.192.0/19,37061
41.139.192.0/24,37061
41.139.196.0/24,37061
41.139.204.0/24,37061
41.139.224.0/19,37061
41.139.229.0/24,37061
41.139.255.0/24,37061
41.186.0.0/16,36890
41.186.11.0/24,36890
41.188.128.0/18,37084
41.188.128.0/19,37084
41.188.130.0/23,37084
41.188.132.0/22,37084
41.188.136.0/22,37084
41.188.140.0/22,37084
41.188.143.0/24,37084
41.188.144.0/23,37084
41.188.146.0/23,37084
41.188.148.0/22,37084
41.188.149.0/24,37084
41.188.150.0/23,37084
41.188.151.0/24,37084
41.188.152.0/22,37084
41.188.152.0/24,37084
41.188.156.0/23,37084
41.188.157.0/24,37084
41.188.160.0/19,37084
41.188.160.0/23,37084
41.188.162.0/24,37084
41.188.164.0/22,37084
41.188.165.0/24,37084
41.188.169.0/24,37084
41.188.171.0/24,37084
41.188.172.0/22,37084
41.188.174.0/23,37084
41.188.176.0/23,37084
41.188.178.0/23,37084
41.188.180.0/22,37084
41.188.184.0/22,37084
41.188.186.176/29,37027
41.188.188.0/24,37084
41.188.189.0/24,37084
41.190.32.0/19,31856
41.190.32.0/20,31856
41.190.33.0/24,37183
41.190.34.0/24,37183
41.190.48.0/20,31856
41.190.54.0/24,31856
41.190.58.0/23,37189
41.190.237.0/24,37037
41.190.239.0/24,37037
41.190.244.0/22,36963
41.191.76.0/22,37063
41.191.76.0/24,37063
41.191.116.0/22,37185
41.191.116.0/24,37185
41.191.119.0/24,37185
41.191.120.0/22,36958
41.191.120.0/24,36958
41.191.121.0/24,36958
41.191.123.0/24,36958
41.191.192.0/21,37052
41.191.192.0/24,37052
41.191.194.0/24,37052
41.191.195.0/24,37052
41.191.197.0/24,37052
41.191.199.0/24,37052
41.191.203.0/24,37057
41.191.206.0/24,37057
41.197.0.0/16,36934
41.202.224.0/19,36991
41.202.224.0/20,36991
41.202.240.0/20,36991
41.203.117.0/24,36970
41.203.120.0/23,36970
41.203.208.0/20,37061
41.203.208.0/21,37061
41.203.208.0/23,33771
41.203.208.0/24,37061
41.203.209.0/24,37061
41.203.210.0/24,37061
41.203.211.0/24,37061
41.203.212.0/24,37061
41.203.213.0/24,37061
41.203.215.0/24,37061
41.203.216.0/21,37061
41.203.216.0/24,37061
41.203.218.0/24,37061
41.203.219.0/24,37061
41.203.222.0/24,37061
41.203.224.0/20,25543
41.203.224.0/21,25543
41.203.224.0/22,25543
41.203.232.0/21,25543
41.204.128.0/19,36930
41.204.160.0/19,36914
41.204.160.0/21,36914
41.204.160.0/22,36914
41.204.160.0/24,36914
41.204.161.0/24,36914
41.204.162.0/24,36914
41.204.163.0/24,36914
41.204.164.0/22,36914
41.204.164.0/24,36914
41.204.166.0/23,36914
41.204.168.0/21,36914
41.204.168.0/22,36914
